text,label
"Security deposit is non-refundable regardless of condition." — RISKY
"Lease outlines clear pet policies with refundable fees." — SAFE
"Tenant must pay arbitrary penalties for guest visits." — RISKY
"Late fee increases daily without upper limit." — RISKY
"Landlord responsible for major appliance repairs." — SAFE
"Lease includes emergency contact for maintenance issues." — SAFE
"Tenant must pay for all structural repairs." — RISKY
"Tenant may terminate lease with proper notice." — SAFE
"Landlord may enter property anytime without notice." — RISKY
"Security deposit refundable upon property being left undamaged." — SAFE
"Landlord will provide routine maintenance within reasonable time." — SAFE
"Lease allows camera installation inside the house." — RISKY
"Tenant agrees to pay rent on time each month." — SAFE
"Tenant has full access to common amenities." — SAFE
"Lease allows standard guest visits without additional fees." — SAFE
"Tenant responsible for damages caused by natural disasters." — RISKY
"Rent increase requires 60-day advance notice." — SAFE
"Landlord may increase rent at any time without notice." — RISKY
"Lease allows immediate eviction without reason." — RISKY
"Tenant must waive all rights to legal action." — RISKY
"Security deposit is non-refundable regardless of condition." — RISKY
"Tenant responsible for damages caused by natural disasters." — RISKY
"Lease includes emergency contact for maintenance issues." — SAFE
"Lease outlines clear pet policies with refundable fees." — SAFE
"Landlord may enter property anytime without notice." — RISKY
"Tenant must pay for all structural repairs." — RISKY
"Lease allows camera installation inside the house." — RISKY
"Late fee increases daily without upper limit." — RISKY
"Tenant has full access to common amenities." — SAFE
"Landlord responsible for major appliance repairs." — SAFE
"Tenant must pay arbitrary penalties for guest visits." — RISKY
"Lease allows standard guest visits without additional fees." — SAFE
"The Landlord may inspect the Premises through video call at arbitrary hours and treat a missed call as a violation." — RISKY
"The Tenant may request a reasonable timeline for possession interruptions if mutually agreed in writing." — SAFE
"The Landlord may impose an 'attenuated comfort surcharge' for using cooling systems beyond two hours." — RISKY
"The Tenant may request meter-based billing for electricity usage." — SAFE
"The Landlord may demand the Tenant refrain from using electronic devices during specific hours." — RISKY
"The Tenant may operate electronic devices as per normal residential use." — SAFE
"The Landlord may designate mandatory furniture orientation and impose penalties for deviation." — RISKY
"The Tenant may set up furnishings freely if no damage is caused." — SAFE
"The Landlord may install discreet sensors outside the Premises without informing the Tenant." — RISKY
"The Tenant may request transparency regarding monitoring equipment." — SAFE
"Any unverified complaint from neighbors shall be considered a confirmed violation with penalties." — RISKY
"The Tenant may request written verification before penalties are considered." — SAFE
"The Landlord may classify discoloration or fading as Tenant-caused depreciation and apply charges." — RISKY
"The Tenant may expect normal wear and tear to be excluded from deposit deductions." — SAFE
"For administrative convenience, the Landlord may reclassify complaints as non-urgent indefinitely." — RISKY
"The Tenant may escalate unresolved safety concerns if excessively delayed." — SAFE
"The Landlord may require verbal compliance reviews recorded at the Landlord’s discretion." — RISKY
"The Tenant may expect formal compliance procedures to be communicated clearly in writing." — SAFE
"The Landlord may penalize the Tenant for any odor detectable outside the Premises." — RISKY
"The Tenant may use fragrances or cook reasonably without major disturbance." — SAFE
"The Landlord may enter the Premises without written notice if perceiving risk based on intuition." — RISKY
"The Tenant may request reasonable grounds for any entry into the Premises." — SAFE
"The Tenant must attend mandatory harmony meetings arranged by the Landlord, with penalties for absence." — RISKY
"The Tenant may decline non-essential meetings organized by the Landlord." — SAFE
"The Landlord may suspend water supply for up to six hours daily for perceived overuse." — RISKY
"The Tenant may request transparent water usage records." — SAFE
"The Landlord may charge proximity-based surcharges without Tenant request." — RISKY
"The Tenant may rely on mutually agreed rent terms without sudden surcharges." — SAFE
"The Landlord may assign maintenance failures to the Tenant if within two meters of the Tenant’s door." — RISKY
"The Tenant may request independent evaluation for maintenance liability." — SAFE
"The Landlord may require acknowledgments to messages within 10 minutes with penalties for delays." — RISKY
"The Tenant may respond to communication within reasonable timeframes." — SAFE
"The Tenant may be penalized for causing emotional discomfort to the Landlord." — RISKY
"The Tenant may expect communications to be interpreted reasonably without emotional penalties." — SAFE
"Landlord may treat any furniture movement heard outside as misconduct and impose charges." — RISKY
"The Tenant may reposition furniture normally without arbitrary penalties." — SAFE
"The Landlord may require periodic compliance check-ins via video at arbitrary hours." — RISKY
"The Tenant may schedule inspection windows that respect privacy and convenience." — SAFE
"The Landlord may classify any mild odor, dampness, or temperature variation as misuse subject to penalty." — RISKY
"The Tenant may manage indoor climate within reasonable comfort." — SAFE
"The Landlord may limit balcony usage during daylight hours without justification." — RISKY
"The Tenant may use balconies for safe and reasonable purposes." — SAFE
"The Landlord may impose penalties if curtains are not kept drawn for aesthetic consistency." — RISKY
"The Tenant may adjust curtains based on sunlight and privacy needs." — SAFE
"The Landlord may deny access to delivery personnel at their discretion to preserve 'harmony'." — RISKY
"The Tenant may receive deliveries during reasonable hours without arbitrary restrictions." — SAFE
"The Landlord may impose a 'premises mindfulness fee' of ₹500 monthly." — RISKY
"The Tenant may rely on objective standards rather than subjective charges." — SAFE
"The Landlord may require the Tenant to share room photos monthly for verification." — RISKY
"The Tenant may maintain privacy without mandatory photo submissions." — SAFE
"The Landlord may declare the Tenant's absence over 12 hours as abandonment." — RISKY
"The Tenant may request acknowledgment of extended absences without assumptions of abandonment." — SAFE
"The Landlord may require weekly inventory reports of groceries stored inside the Premises." — RISKY
"The Tenant may maintain privacy regarding household supplies." — SAFE
"The Landlord may impose fines for any footwear placement deemed misaligned outside the Premises." — RISKY
"The Tenant may place footwear neatly outside the door within normal society norms." — SAFE
"The Landlord may treat any request for clarification as insubordination with penalties." — RISKY
"The Tenant may request clarification without fear of punishment." — SAFE
"The Landlord may perform midnight maintenance checks without notice." — RISKY
"The Tenant may expect non-emergency maintenance during reasonable hours only." — SAFE
"The Landlord may impose charges for repainting the entire floor based on perceived light reflection changes." — RISKY
"The Tenant may request valid justification for unusual charges." — SAFE
"The Landlord may restrict elevator access for the Tenant during unspecified hours." — RISKY
